SiO2   2
Si 0.46745   O  0.53255
ybco   4
Y  0.13350   Ba 0.41230   Cu 0.28610   O  .16810
sio2   2
Si 0.46745   O  0.53255
SRTIO  3
Ti 0.26101   Sr 0.47745   O  0.26154
srtio  3
Sr 0.47745   Ti 0.26101   O  0.26154
YBCO   4
Y  0.13345   Ba 0.41231   Cu 0.28613   O  0.16811
gaas   2
Ga 0.48202   As 0.51798
sio2   2
Si 0.46745   O  0.53255
nicr   2
Ni 0.62876   Cr 0.37124
nico   2
Ni 0.66582   Co 0.33418
mq     3
Fe 0.72317   Nd 0.26683   B  0.01000
ndb6   2
B  0.31019   Nd 0.68981
NdFeB  3
B  0.01000   Fe 0.72317   Nd 0.26683
o ka   2
Si 0.46745   O  0.53255
andr   5
Ca 0.23840   Fe 0.21900   Si 0.16360   Mg 0.00180   O  0.37730
tlo    2
Tl 0.89491   O  0.10509   
bn     2
B  0.43559   N  0.56441   
sic    2
C  0.29955   Si 0.70045   
lif    2
F  0.73247   Li 0.26753   
ktn    4
K  0.16170   Ta 0.53800   Nb 0.10180   O  0.19850
fecr   3
Fe 0.71000   Cr 0.18100   Ni 0.10900
fecr2  2
Fe 0.99000   Cr 0.01000
f      2
Fe 0.90000   Cr 0.10000
ndfb   3
B  0.01000   Fe 0.72317   Nd 0.26683   
ANDR   7
Fe 0.00000   U  0.00000   cK 0.00000   cK 0.00000   cK 0.00000   cK 0.00000   cK 0.00000   
tio2   2
Ti 0.59951   O  0.40049   
gap    2
P  0.30761   Ga 0.69239   
pbs    2
Pb 0.86598   S  0.13402   
yfeo   3
O  0.26017   Y  0.36143   Fe 0.37840   
auhg   2
Pt 0.50000   Hg 0.50000   
gasa   2
Ga 0.48202   As 0.51798   
fecr   3
Fe 0.71000   Cr 0.18100   Ni 0.10900
bigr   3
Bi 0.86465   Ge 0.02503   O  0.11033   
piop   4
Ca 0.18390   O  0.44300   Mg 0.11230   Si 0.25880   
cupri  2
Cu 0.88820   O  0.11180   
yag    3
O  0.32340   Y  0.44930   Al 0.22730   
olivr  4
Si 0.19560   O  0.44030   Mg 0.31100   Fe 0.05060   
croc   3
Pb 0.64109   Cr 0.16089   O  0.19802   
mgo    2
Mg 0.60311   O  0.39689   
insb   2
In 0.48535   Sb 0.51465   
fezn   2
Zn 0.70069   Fe 0.29931   
gese2  2
Ge 0.31491   Se 0.68509   
zrn    2
Zr 0.86689   N  0.13311
TiN    2
N  0.22626   Ti 0.77374
prfb   3
Pr 0.26228   Fe 0.72766   B  0.01006
nacl   2
Cl 0.60663   Na 0.39337
cds    2
S  0.22195   Cd 0.77805
aln    2
N  0.34173   Al 0.65827
inas   2
In 0.60514   As 0.39486   
benit  4
Ba 0.33210   O  0.34810   Si 0.20380   Ti 0.11580   
cufes  3
Cu 0.34624   Fe 0.30432   S  0.34944   
diop   4
Mg 0.11230   Si 0.25880   O  0.44300   Ca 0.18390   
tin    2
N  0.22626   Ti 0.77374   
cecb   3
Ce 0.25354   Co 0.74646   cK 0.00000   
ceco   3
Ce 0.25109   Co 0.73923   B  0.00969   
lani5  2
La 0.32121   Ni 0.67879
feo    2
Fe 0.77732   O  0.22268
fe3o4  2
Fe 0.72360   O  0.27640
fe2o3  2
Fe 0.69944   O  0.30056   
bst    4
Ba 0.41624   Sr 0.13680   Ti 0.22656   O  0.22040   
lani   2
La 0.32121   Ni 0.67879   
yfe0   3
O  0.26017   Y  0.36143   Fe 0.37840   
fe203  2
Fe 0.69944   O  0.30056   
ALN    2
Al 0.65827   N  0.34173   
cu2o   2
O  0.11182   Cu 0.88818   
cu20   2
O  0.11182   Cu 0.88818   
cefb   3
Ce 0.26120   Fe 0.72873   B  0.01008   
erfb   3
Er 0.29677   Fe 0.69364   B  0.00959   
yfeb   3
Y  0.18322   Fe 0.80564   B  0.01114   
prcb   3
Pr 0.25214   Co 0.73818   B  0.00967   
smcb   3
Sm 0.26457   Co 0.72592   B  0.00951   
GAAS   2
Ga 0.48202   As 0.51798   
fe3c   2
Fe 0.93311   C  0.06689   
lafb   3
La 0.25953   Fe 0.73038   B  0.01010   
moo3   2
O  0.33346   Mo 0.66654   
y2o3   2
Y  0.78744   O  0.21256   
INSB   2
In 0.48535   Sb 0.51465   
 
 
